Label,Nuclei
1,left red nucleus
2,right red nucleus
3,left substantia nigra
4,right substantia nigra
5,left subthalamic nucleus
6,right subthalamic nucleus
7,left caudate
8,right caudate
9,left putamen
10,right putamen
11,left globus pallidus externa
12,right globus pallidus externa
13,left globus pallidus interna
14,right globus pallidus Interna
15,left thalamus
16,right thalamus
17,left hippocampus
18,right hippocampus
19,left nucleus accumbens
20,right nucleus accumbens
21,left amygdala
22,right amygdala
